################################## 
## Start: "generate_grid" function 
################################## 
########################### 
###### Landscape 2 ####### 
########################### 
Verbosity level:   1.00 
       i           x               G 
     599  0.050000   0.940000   0.989330   
     600  0.050000   0.950000   0.980714   
     601  0.050000   0.960000   0.969471   
     602  0.050000   0.970000   0.955724   
     603  0.050000   0.980000   0.939604   
     604  0.050000   0.990000   0.921261   
     605  0.050000   1.000000   0.900856   
     606  0.060000   0.000000   -0.441733   
     607  0.060000   0.010000   -0.447487   
     608  0.060000   0.020000   -0.450999   
     609  0.060000   0.030000   -0.452170   
     610  0.060000   0.040000   -0.450972   
     611  0.060000   0.050000   -0.447455   
     612  0.060000   0.060000   -0.441743   
     613  0.060000   0.070000   -0.434034   
     614  0.060000   0.080000   -0.424595   
     615  0.060000   0.090000   -0.413752   
     616  0.060000   0.100000   -0.401886   
     617  0.060000   0.110000   -0.389420   
     618  0.060000   0.120000   -0.376810   
     619  0.060000   0.130000   -0.364537   
     620  0.060000   0.140000   -0.353095   
     621  0.060000   0.150000   -0.342983   
     622  0.060000   0.160000   -0.334702   
     623  0.060000   0.170000   -0.328742   
     624  0.060000   0.180000   -0.325586   
     625  0.060000   0.190000   -0.325697   
     626  0.060000   0.200000   -0.329526   
     627  0.060000   0.210000   -0.337500   
     628  0.060000   0.220000   -0.350026   
     629  0.060000   0.230000   -0.367484   
     630  0.060000   0.240000   -0.390227   
     631  0.060000   0.250000   -0.418570   
     632  0.060000   0.260000   -0.452784   
     633  0.060000   0.270000   -0.493090   
     634  0.060000   0.280000   -0.539637   
     635  0.060000   0.290000   -0.592499   
     636  0.060000   0.300000   -0.651649   
     637  0.060000   0.310000   -0.716948   
     638  0.060000   0.320000   -0.788126   
     639  0.060000   0.330000   -0.864768   
     640  0.060000   0.340000   -0.946299   
     641  0.060000   0.350000   -1.031974   
     642  0.060000   0.360000   -1.120874   
     643  0.060000   0.370000   -1.211910   
     644  0.060000   0.380000   -1.303826   
     645  0.060000   0.390000   -1.395221   
     646  0.060000   0.400000   -1.484569   
     647  0.060000   0.410000   -1.570252   
     648  0.060000   0.420000   -1.650603   
     649  0.060000   0.430000   -1.723941   
     650  0.060000   0.440000   -1.788632   
     651  0.060000   0.450000   -1.843130   
     652  0.060000   0.460000   -1.886031   
